needs_revi,county,collection,collecti_1,projects,UPCASE_CO,Chad_RVW
,Appling,1-2019,4-2019,GA_Statewide_11_2018,APPLING,yes
,Atkinson,2-2019,4-2019,GA_Statewide_10_2018,ATKINSON,yes
,Baker,2-2020,3-2020,GA_Central_3_2019|GA_Central_4_2019,BAKER,yes
,Baldwin,12-2019,1-2020,GA_Central_1_2019,BALDWIN,yes
,Barrow,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,BARROW,yes
,Bartow,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,BARTOW,yes
,Berrien,2-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,BERRIEN,yes
,Bibb,12-2019,2-2020,GA_Central_5_2019,BIBB,yes
,Brantley,1-2019,4-2019,GA_Statewide_B5_2018,BRANTLEY,yes
,Brooks,3-2016,2-2017,GA_Georgia_A1_2016,BROOKS,yes
,Bryan,11-2018,4-2019,GA_Statewide_B6_2018,BRYAN,yes
,Burke,2-2016,2-2017,GA_Georgia_A2_2016,BURKE,yes
,Bacon,1-2019,4-2019,GA_Statewide_11_2018,BACON,yes
,Banks,3-2019,4-2019,GA_Statewide_B4_2018,BANKS,yes
,Ben Hill,1-2019,4-2019,GA_Statewide_11_2018,BEN HILL,yes
,Bleckley,1-2021,1-2021,GA_SW_Georgia_B4_2017,BLECKLEY,yes
,Bulloch,11-2018,4-2019,GA_Statewide_B6_2018,BULLOCH,yes
,Butts,12-2019,2-2020,GA_Central_5_2019,BUTTS,yes
,Cherokee,1-2019,4-2019,GA_Statewide_B2_2018,CHEROKEE,yes
,Clarke,3-2019,4-2019,GA_Statewide_B4_2018,CLARKE,yes
,Clay,2-2016,3-2020,GA_Central_3_2019|GA_Georgia_A3_2016,CLAY,yes
,Clayton,12-2019,2-2020,GA_Central_5_2019,CLAYTON,yes
,Clinch,1-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,CLINCH,yes
,Camden,1-2019,4-2019,GA_Statewide_B5_2018,CAMDEN,yes
,Charlton,1-2019,4-2019,GA_Statewide_B5_2018,CHARLTON,yes
,Chatham,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_11_2018,CHATHAM,yes
,Cook,2-2020,3-2020,GA_Central_3_2019,COOK,yes
,Crawford,1-2021,1-2021,GA_SW_Georgia_B4_2017,CRAWFORD,yes
,Crisp,1-2021,1-2021,GA_SW_Georgia_B4_2017,CRISP,yes
,Calhoun,2-2020,3-2020,GA_Central_3_2019,CALHOUN,yes
,Candler,11-2018,4-2019,GA_Statewide_B6_2018,CANDLER,yes
,Carroll,1-2020,1-2020,GA_Central_6_2019,CARROLL,yes
,Catoosa,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,CATOOSA,yes
1,Chattahoochee,1-2017,12-2017,GA_Unknown_1_2017_12_2017,CHATTAHOOCHEE,yes
,Chattooga,1-2019,4-2019,GA_Statewide_B1_2018,CHATTOOGA,yes
,Coweta,1-2020,1-2020,GA_Central_6_2019,COWETA,yes
,Cobb,1-2019,4-2019,GA_Statewide_B2_2018,COBB,yes
,Coffee,1-2019,4-2019,GA_Statewide_11_2018,COFFEE,yes
,Colquitt,3-2016,3-2020,GA_Georgia_A1_2016|GA_Central_3_2019,COLQUITT,yes
,Columbia,11-2018,1-2019,GA_Statewide_B8_2018,COLUMBIA,yes
,DeKalb,3-2019,4-2019,GA_Statewide_B3_2018,DEKALB,yes
,Dade,1-2019,4-2019,GA_Statewide_B1_2018,DADE,yes
,Dawson,3-2019,4-2019,GA_Statewide_B3_2018,DAWSON,yes
,Decatur,2-2020,3-2020,GA_Central_4_2019,DECATUR,yes
,Dodge,1-2021,1-2021,GA_SW_Georgia_B4_2017|GA_SW_Georgia_B5_2017,DODGE,yes
,Dooly,1-2021,1-2021,GA_SW_Georgia_B4_2017,DOOLY,yes
,Dougherty,2-2020,3-2020,GA_Central_3_2019,DOUGHERTY,yes
,Douglas,1-2020,1-2020,GA_Central_6_2019,DOUGLAS,yes
,Effingham,11-2018,4-2019,GA_Statewide_B6_2018,EFFINGHAM,yes
,Elbert,11-2018,4-2019,GA_Statewide_B7_2018,ELBERT,yes
,Emanuel,11-2018,4-2019,GA_Statewide_B6_2018,EMANUEL,yes
,Early,2-2020,3-2020,GA_Central_3_2019|GA_Central_4_2019,EARLY,yes
,Echols,1-2019,4-2019,GA_Statewide_12_2018,ECHOLS,yes
,Evans,11-2018,4-2019,GA_Statewide_B6_2018,EVANS,yes
,Fayette,12-2019,2-2020,GA_Central_5_2019,FAYETTE,yes
,Fulton,1-2019,4-2019,GA_Statewide_B2_2018,FULTON,yes
,Fannin,1-2019,4-2019,GA_Statewide_B2_2018,FANNIN,yes
,Floyd,1-2019,4-2019,GA_Statewide_B1_2018,FLOYD,yes
,Forsyth,3-2019,4-2019,GA_Statewide_B3_2018,FORSYTH,yes
,Franklin,12-2019,1-2020,GA_Central_1_2019,FRANKLIN,yes
,Glynn,1-2019,4-2019,GA_Statewide_B5_2018,GLYNN,yes
,Grady,2-2020,3-2020,GA_Central_3_2019|GA_Central_4_2019,GRADY,yes
,Gwinnett,12-2019,1-2020,GA_Central_1_2019,GWINNETT,yes
,Gilmer,1-2019,4-2019,GA_Statewide_B2_2018,GILMER,yes
,Glascock,11-2018,1-2019,GA_Statewide_B8_2018,GLASCOCK,yes
,Gordon,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,GORDON,yes
,Greene,11-2018,1-2019,GA_Statewide_B8_2018,GREENE,yes
,Habersham,3-2019,4-2019,GA_Statewide_B4_2018,HABERSHAM,yes
,Hancock,12-2019,1-2020,GA_Central_1_2019,HANCOCK,yes
,Heard,1-2020,1-2020,GA_Central_6_2019,HEARD,yes
,Henry,12-2019,2-2020,GA_Central_5_2019,HENRY,yes
,Hall,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,HALL,yes
,Haralson,1-2019,4-2019,GA_Statewide_B1_2018,HARALSON,yes
,Harris,1-2020,6-2020,GA_Central_2_2019,HARRIS,yes
,Hart,12-2019,1-2020,GA_Central_1_2019,HART,yes
,Houston,1-2021,1-2021,GA_SW_Georgia_B4_2017,HOUSTON,yes
,Irwin,1-2019,4-2019,GA_Statewide_11_2018,IRWIN,yes
,Jefferson,11-2018,3-2019,GA_Statewide_B8_2018|GA_Statewide_9_2018,JEFFERSON,yes
,Jackson,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,JACKSON,yes
,Jasper,12-2019,2-2020,GA_Central_5_2019,JASPER,yes
,Jeff Davis,1-2019,4-2019,GA_Statewide_11_2018,JEFF DAVIS,yes
,Jenkins,2-2016,2-2017,GA_Georgia_A2_2016,JENKINS,yes
,Johnson,12-2018,3-2019,GA_Statewide_9_2018,JOHNSON,yes
,Jones,12-2019,2-2020,GA_Central_5_2019,JONES,yes
,Lamar,3-2016,2-2017,GA_Georgia_A1_2016,LAMAR,yes
,Liberty,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_11_2018,LIBERTY,yes
,Long,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_10_2018|GA_Statewide_11_2018,LONG,yes
,Lowndes,2-2020,3-2020,GA_Central_3_2019,LOWNDES,yes
,Lanier,1-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,LANIER,yes
,Laurens,12-2018,3-2019,GA_Statewide_9_2018,LAURENS,yes
,Lee,2-2020,3-2020,GA_Central_3_2019,LEE,yes
,Lincoln,11-2018,4-2019,GA_Statewide_B7_2018,LINCOLN,yes
,Lumpkin,3-2019,4-2019,GA_Statewide_B3_2018,LUMPKIN,yes
,McDuffie,11-2018,1-2019,GA_Statewide_B8_2018,MCDUFFIE,yes
,McIntosh,1-2019,4-2019,GA_Statewide_B5_2018,MCINTOSH,yes
,Madison,12-2019,1-2020,GA_Central_1_2019,MADISON,yes
,Miller,2-2020,3-2020,GA_Central_4_2019,MILLER,yes
,Murray,1-2019,4-2019,GA_Statewide_B2_2018,MURRAY,yes
,Macon,1-2021,1-2021,GA_SW_Georgia_B4_2017,MACON,yes
,Marion,3-2016,2-2017,GA_Georgia_A1_2016,MARION,yes
,Meriwether,3-2017,11-2017,GA_SW_Georgia_B1b_2017,MERIWETHER,yes
,Mitchell,2-2020,3-2020,GA_Central_3_2019|GA_Central_4_2019,MITCHELL,yes
,Monroe,12-2019,2-2020,GA_Central_5_2019,MONROE,yes
,Montgomery,12-2018,4-2019,GA_Statewide_9_2018|GA_Statewide_11|2018,MONTGOMERY,yes
,Morgan,12-2019,2-2020,GA_Central_5_2019,MORGAN,yes
,Muscogee,3-2017,4-2017,GA_SW_Georgia_B1a_2017,MUSCOGEE,yes
,Newton,12-2019,2-2020,GA_Central_5_2019,NEWTON,yes
,Oconee,12-2019,1-2020,GA_Central_1_2019,OCONEE,yes
,Oglethorpe,12-2019,1-2020,GA_Central_1_2019,OGLETHORPE,yes
,Paulding,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,PAULDING,yes
,Pierce,2-2019,4-2019,GA_Statewide_10_2018,PIERCE,yes
,Peach,1-2021,1-2021,GA_SW_Georgia_B4_2017,PEACH,yes
,Pickens,1-2019,4-2019,GA_Statewide_B2_2018,PICKENS,yes
,Pike,3-2016,2-2020,GA_Georgia_A1_2016|GA_Central_5_2019,PIKE,yes
,Polk,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,POLK,yes
,Pulaski,1-2021,1-2021,GA_SW_Georgia_B4_2017|GA_SW_Georgia_B5_2017,PULASKI,yes
,Putnam,12-2019,1-2020,GA_Central_1_2019,PUTNAM,yes
1,Quitman,1-2017,12-2017,GA_Unknown_1_2017_12_2017,QUITMAN,yes
,Rabun,3-2019,4-2019,GA_Statewide_B4_2018,RABUN,yes
,Richmond,11-2018,1-2019,GA_Statewide_B8_2018,RICHMOND,yes
1,Randolph,2-2016,3-2020,GA_Unknown_2_2016|GA_Central_3_2019,RANDOLPH,yes
,Rockdale,3-2019,4-2019,GA_Statewide_B3_2018,ROCKDALE,yes
,Schley,1-2020,6-2020,GA_Central_2_2019,SCHLEY,yes
,Screven,11-2018,4-2019,GA_Statewide_B6_2018,SCREVEN,yes
,Spalding,12-2019,2-2020,GA_Central_5_2019,SPALDING,yes
,Stephens,12-2019,1-2020,GA_Central_1_2019,STEPHENS,yes
1,Stewart,3-2016,6-2020,GA_Unknown_3_2016|GA_Central_2_2019,STEWART,yes
,Sumter,1-2020,6-2020,GA_Central_2_2019,SUMTER,yes
,Seminole,2-2020,3-2020,GA_Central_4_2019,SEMINOLE,yes
,Tattnall,11-2018,4-2019,GA_Statewide_B6_2018,TATTNALL,yes
,Taylor,1-2017,12-2017,GA_Unknown_1_2017_12_2017,TAYLOR,yes
,Telfair,1-2021,1-2021,GA_SW_Georgia_B5_2017,TELFAIR,yes
,Troup,3-2017,11-2017,GA_SW_Georgia_B1b_2017,TROUP,yes
,Twiggs,1-2021,1-2021,GA_SW_Georgia_B4_2017,TWIGGS,yes
1,Talbot,3-2016,2-2020,GA_Georgia_A1_2016,TALBOT,yes
,Taliaferro,11-2018,4-2019,GA_Statewide_B7_2018,TALIAFERRO,yes
,Terrell,2-2020,3-2020,GA_Central_3_2019,TERRELL,yes
,Thomas,3-2016,3-2020,GA_Georgia_A1_2016|GA_Central_3_2019,THOMAS,yes
,Tift,2-2020,3-2020,GA_Central_3_2019,TIFT,yes
,Toombs,12-2018,4-2019,GA_Statewide_B6_2018|GA_Statewide_9_2018|GA_Statewide_11_2018,TOOMBS,yes
,Towns,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,TOWNS,yes
,Treutlen,12-2018,3-2019,GA_Statewide_9_2018,TREUTLEN,yes
,Turner,1-2021,1-2021,GA_SW_Georgia_B4_2017,TURNER,yes
,Union,3-2019,4-2019,GA_Statewide_B3_2018,UNION,yes
,Upson,3-2016,2-2017,GA_Georgia_A1_2016,UPSON,yes
,Warren,11-2018,1-2019,GA_Statewide_B8_2018,WARREN,yes
,Washington,11-2018,3-2019,GA_Statewide_B8_2018|GA_Statewide_9_2018,WASHINGTON,yes
,Wayne,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_10_2018|GA_Statewide_11_2018,WAYNE,yes
,Wheeler,12-2018,4-2019,GA_Statewide_9_2018|GA_Statewide_11|2018,WHEELER,yes
,Whitfield,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,WHITFIELD,yes
,Wilkes,11-2018,4-2019,GA_Statewide_B7_2018,WILKES,yes
,Wilkinson,12-2018,3-2019,GA_Statewide_9_2018,WILKINSON,yes
,White,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,WHITE,yes
,Wilcox,1-2021,1-2021,GA_SW_Georgia_B4_2017,WILCOX,yes
,Worth,2-2020,3-2020,GA_Central_3_2019,WORTH,yes
,Walker,1-2019,4-2019,GA_Statewide_B1_2018,WALKER,yes
,Walton,12-2019,2-2020,GA_Central_5_2019,WALTON,yes
1,Ware,1-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,WARE,yes
,Webster,1-2020,6-2020,GA_Central_2_2019,WEBSTER,yes
