county,collection_start,collection_end,projects,needs_review
Appling,1-2019,4-2019,GA_Statewide_11_2018,
Atkinson,2-2019,4-2019,GA_Statewide_10_2018,
Baker,2-2016,9-2018,GA_Central_3_2019|GA_Central_4_2019,
Baldwin,11-2018,1-2020,GA_Central_1_2019,
Barrow,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,
Bartow,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,
Berrien,2-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,
Bibb,12-2019,1-2021,GA_Central_5_2019,
Brantley,1-2019,4-2019,GA_Statewide_B5_2018,
Brooks,12-2015,1-2020,GA_Georgia_A1_2016,1
Bryan,11-2018,4-2019,GA_Statewide_B6_2018,
Burke,2-2016,2-2020,GA_Georgia_A2_2016,1
Bacon,1-2019,4-2019,GA_Statewide_11_2018,
Banks,3-2019,4-2019,GA_Statewide_B4_2018,
Ben Hill,1-2019,4-2019,GA_Statewide_11_2018,
Bleckley,12-2018,1-2021,GA_SW_Georgia_B4_2017,
Bulloch,2-2016,4-2019,GA_Statewide_B6_2018,
Butts,3-2016,2-2020,GA_Central_5_2019,1
Cherokee,1-2019,4-2019,GA_Statewide_B2_2018,
Clarke,3-2019,4-2019,GA_Statewide_B4_2018,
Clay,2-2016,3-2020,GA_Central_3_2019|GA_Georgia_A3_2016,1
Clayton,12-2019,2-2020,GA_Central_5_2019,
Clinch,12-2015,1-2020,GA_Statewide_10_2018|GA_Statewide_12_2018,1
Camden,11-2018,4-2019,GA_Statewide_B5_2018,
Charlton,11-2018,1-2020,GA_Statewide_B5_2018,
Chatham,11-2018,3-2020,GA_Statewide_B5_2018|GA_Statewide_11_2018,
Cook,3-2016,3-2020,GA_Central_3_2019,1
Crawford,3-2016,1-2021,GA_SW_Georgia_B4_2017,1
Crisp,3-2016,1-2021,GA_SW_Georgia_B4_2017,1
Calhoun,2-2016,3-2020,GA_Central_3_2019,1
Candler,11-2018,4-2019,GA_Statewide_B6_2018,
Carroll,1-2013,1-2021,GA_Central_6_2019,1
Catoosa,12-2015,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,1
Chattahoochee,3-2016,6-2020,GA_Unknown_1_2017_12_2017,1
Chattooga,2-2017,4-2019,GA_Statewide_B1_2018,
Coweta,3-2017,1-2020,GA_Central_6_2019,
Cobb,1-2019,1-2020,GA_Statewide_B2_2018,
Coffee,1-2019,4-2019,GA_Statewide_11_2018,
Colquitt,3-2016,2-2017,GA_Georgia_A1_2016|GA_Central_3_2019,
Columbia,11-2018,4-2019,GA_Statewide_B8_2018,
DeKalb,1-2019,2-2020,GA_Statewide_B3_2018,
Dade,12-2015,4-2019,GA_Statewide_B1_2018,1
Dawson,3-2019,4-2019,GA_Statewide_B3_2018,
Decatur,3-2016,9-2018,GA_Central_4_2019,
Dodge,12-2018,1-2021,GA_SW_Georgia_B4_2017|GA_SW_Georgia_B5_2017,
Dooly,3-2016,1-2021,GA_SW_Georgia_B4_2017,1
Dougherty,2-2016,3-2020,GA_Central_3_2019,1
Douglas,1-2019,1-2020,GA_Central_6_2019,
Effingham,11-2018,4-2019,GA_Statewide_B6_2018,
Elbert,11-2018,4-2019,GA_Statewide_B7_2018,
Emanuel,2-2016,4-2019,GA_Statewide_B6_2018,
Early,2-2016,9-2018,GA_Central_3_2019|GA_Central_4_2019,
Echols,12-2015,4-2019,GA_Statewide_12_2018,1
Evans,11-2018,4-2019,GA_Statewide_B6_2018,
Fayette,1-2019,2-2020,GA_Central_5_2019,
Fulton,1-2019,2-2020,GA_Statewide_B2_2018,
Fannin,12-2015,4-2019,GA_Statewide_B2_2018,1
Floyd,2-2017,4-2019,GA_Statewide_B1_2018,
Forsyth,3-2019,4-2019,GA_Statewide_B3_2018,
Franklin,3-2019,2-2020,GA_Central_1_2019,
Glynn,1-2019,4-2019,GA_Statewide_B5_2018,
Grady,3-2016,2-2017,GA_Central_3_2019|GA_Central_4_2019,
Gwinnett,3-2019,1-2020,GA_Central_1_2019,
Gilmer,1-2019,4-2019,GA_Statewide_B2_2018,
Glascock,11-2018,1-2019,GA_Statewide_B8_2018,
Gordon,1-2019,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,
Greene,11-2018,4-2019,GA_Statewide_B8_2018,
Habersham,3-2019,4-2019,GA_Statewide_B4_2018,
Hancock,11-2018,1-2020,GA_Central_1_2019,
Heard,2-2017,1-2020,GA_Central_6_2019,
Henry,12-2019,2-2020,GA_Central_5_2019,
Hall,3-2019,1-2020,GA_Statewide_B3_2018|GA_Statewide_B4_2018,
Haralson,1-2013,1-2021,GA_Statewide_B1_2018,1
Harris,3-2016,6-2020,GA_Central_2_2019,1
Hart,11-2018,2-2020,GA_Central_1_2019,
Houston,12-2019,1-2021,GA_SW_Georgia_B4_2017,
Irwin,1-2019,4-2019,GA_Statewide_11_2018,
Jefferson,2-2016,3-2019,GA_Statewide_B8_2018|GA_Statewide_9_2018,
Jackson,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,
Jasper,12-2019,2-2020,GA_Central_5_2019,
Jeff Davis,1-2019,4-2019,GA_Statewide_11_2018,
Jenkins,2-2016,4-2019,GA_Georgia_A2_2016,
Johnson,12-2018,3-2019,GA_Statewide_9_2018,
Jones,12-2018,1-2021,GA_Central_5_2019,
Lamar,3-2016,2-2020,GA_Georgia_A1_2016,1
Liberty,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_11_2018,
Long,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_10_2018|GA_Statewide_11_2018,
Lowndes,3-2016,3-2020,GA_Central_3_2019,1
Lanier,2-2019,4-2019,GA_Statewide_10_2018|GA_Statewide_12_2018,
Laurens,12-2018,3-2019,GA_Statewide_9_2018,
Lee,3-2016,6-2020,GA_Central_3_2019,1
Lincoln,11-2018,2-2020,GA_Statewide_B7_2018,
Lumpkin,3-2019,4-2019,GA_Statewide_B3_2018,
McDuffie,11-2018,1-2019,GA_Statewide_B8_2018,
McIntosh,1-2019,4-2019,GA_Statewide_B5_2018,
Madison,11-2018,1-2020,GA_Central_1_2019,
Miller,3-2017,9-2018,GA_Central_4_2019,
Murray,12-2015,4-2019,GA_Statewide_B2_2018,1
Macon,3-2016,1-2021,GA_SW_Georgia_B4_2017,1
Marion,3-2016,2-2017,GA_Georgia_A1_2016,
Meriwether,3-2016,6-2020,GA_SW_Georgia_B1b_2017,1
Mitchell,3-2016,2-2017,GA_Central_3_2019|GA_Central_4_2019,
Monroe,3-2016,2-2020,GA_Central_5_2019,1
Montgomery,12-2018,4-2019,GA_Statewide_9_2018|GA_Statewide_11|2018,
Morgan,11-2018,2-2020,GA_Central_5_2019,
Muscogee,3-2016,6-2020,GA_SW_Georgia_B1a_2017,1
Newton,3-2019,2-2020,GA_Central_5_2019,
Oconee,11-2018,1-2020,GA_Central_1_2019,
Oglethorpe,11-2018,1-2020,GA_Central_1_2019,
Paulding,1-2019,1-2020,GA_Statewide_B1_2018|GA_Statewide_B2_2018,
Pierce,2-2019,4-2019,GA_Statewide_10_2018,
Peach,12-2019,1-2021,GA_SW_Georgia_B4_2017,
Pickens,1-2019,4-2019,GA_Statewide_B2_2018,
Pike,3-2016,2-2020,GA_Georgia_A1_2016|GA_Central_5_2019,1
Polk,1-2013,1-2021,GA_Statewide_B1_2018|GA_Statewide_B2_2018,1
Pulaski,1-2021,1-2021,GA_SW_Georgia_B4_2017|GA_SW_Georgia_B5_2017,
Putnam,11-2018,1-2020,GA_Central_1_2019,
Quitman,3-2017,3-2017,GA_Unknown_1_2017_12_2017,
Rabun,3-2017,4-2019,GA_Statewide_B4_2018,
Richmond,2-2016,1-2019,GA_Statewide_B8_2018,
Randolph,2-2016,6-2020,GA_Unknown_2_2016|GA_Central_3_2019,1
Rockdale,3-2019,2-2020,GA_Statewide_B3_2018,
Schley,3-2016,2-2017,GA_Central_2_2019,
Screven,2-2016,4-2019,GA_Statewide_B6_2018,
Spalding,3-2016,2-2020,GA_Central_5_2019,1
Stephens,3-2019,2-2020,GA_Central_1_2019,
Stewart,3-2016,6-2020,GA_Unknown_3_2016|GA_Central_2_2019,1
Sumter,3-2016,4-2017,GA_Central_2_2019,
Seminole,3-2017,9-2018,GA_Central_4_2019,
Tattnall,11-2018,4-2019,GA_Statewide_B6_2018,
Taylor,3-2016,1-2021,GA_Unknown_1_2017_12_2017,1
Telfair,12-2018,1-2021,GA_SW_Georgia_B5_2017,
Troup,2-2017,6-2020,GA_SW_Georgia_B1b_2017,
Twiggs,12-2018,1-2021,GA_SW_Georgia_B4_2017,
Talbot,3-2016,2-2017,GA_Georgia_A1_2016,
Taliaferro,11-2018,4-2019,GA_Statewide_B7_2018,
Terrell,2-2016,4-2017,GA_Central_3_2019,
Thomas,3-2016,2-2017,GA_Georgia_A1_2016|GA_Central_3_2019,
Tift,3-2016,3-2020,GA_Central_3_2019,1
Toombs,11-2018,4-2019,GA_Statewide_B6_2018|GA_Statewide_9_2018|GA_Statewide_11_2018,
Towns,4-2017,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,
Treutlen,12-2018,3-2019,GA_Statewide_9_2018,
Turner,3-2016,1-2021,GA_SW_Georgia_B4_2017,1
Union,3-2017,4-2019,GA_Statewide_B3_2018,
Upson,3-2016,1-2021,GA_Georgia_A1_2016,1
Warren,11-2018,1-2019,GA_Statewide_B8_2018,
Washington,11-2018,1-2020,GA_Statewide_B8_2018|GA_Statewide_9_2018,
Wayne,1-2019,4-2019,GA_Statewide_B5_2018|GA_Statewide_10_2018|GA_Statewide_11_2018,
Wheeler,12-2018,1-2021,GA_Statewide_9_2018|GA_Statewide_11|2018,
Whitfield,12-2015,4-2019,GA_Statewide_B1_2018|GA_Statewide_B2_2018,1
Wilkes,11-2018,4-2019,GA_Statewide_B7_2018,
Wilkinson,11-2018,1-2021,GA_Statewide_9_2018,
White,3-2019,4-2019,GA_Statewide_B3_2018|GA_Statewide_B4_2018,
Wilcox,1-2019,1-2021,GA_SW_Georgia_B4_2017,
Worth,3-2016,3-2020,GA_Central_3_2019,1
Walker,12-2015,4-2019,GA_Statewide_B1_2018,1
Walton,3-2019,2-2020,GA_Central_5_2019,
Ware,1-2017,1-2020,GA_Statewide_10_2018|GA_Statewide_12_2018,
Webster,3-2016,6-2020,GA_Central_2_2019,1
